jointName,tauEst,targetTau,error,reachtime,timesincelastentry,timefromstart,pgmtime
FR_0,-0.664062,-0.500000,0.164062,-1,0,499422,1
FR_1,0.000000,-0.223904,-0.223904,-1,0,499498,1
FR_2,0.070312,0.500000,0.429688,-1,0,499506,1
FL_0,0.664062,0.500000,-0.164062,-1,0,499506,1
FL_1,0.023438,-0.227330,-0.250768,-1,0,499506,1
FL_2,0.035156,0.500000,0.464844,-1,0,499512,1
RR_0,-0.617188,-0.500000,0.117188,-1,0,499512,1
RR_1,0.144531,-0.130099,-0.274631,-1,0,499512,1
RR_2,0.035156,0.500000,0.464844,-1,0,499512,1
RL_0,0.640625,0.500000,-0.140625,-1,0,499513,1
RL_1,0.000000,-0.139101,-0.139101,-1,0,499513,1
RL_2,0.000000,0.500000,0.500000,-1,0,499513,1
FR_0,-0.617188,-0.500000,0.117188,-1,1046,500441,1
FR_1,-0.023438,-0.223904,-0.200467,-1,1046,500442,1
FR_2,0.000000,0.500000,0.500000,-1,1046,500442,1
FL_0,0.566406,0.500000,-0.066406,-1,1046,500442,1
FL_1,0.000000,-0.227330,-0.227330,-1,1046,500442,1
FL_2,0.000000,0.500000,0.500000,-1,1046,500445,1
RR_0,-0.542969,-0.500000,0.042969,-1,1046,500445,1
RR_1,0.000000,-0.130099,-0.130099,-1,1046,500445,1
RR_2,-0.035156,0.500000,0.535156,-1,1046,500445,1
RL_0,0.589844,0.500000,-0.089844,-1,1046,500445,1
RL_1,-0.023438,-0.139101,-0.115664,-1,1046,500445,1
RL_2,-0.035156,0.500000,0.535156,-1,1046,500445,1
FR_0,-0.617188,-0.500000,0.117188,-1,983,501425,0
FR_1,0.046875,-0.223904,-0.270779,-1,983,501425,0
FR_2,0.070312,0.500000,0.429688,-1,983,501425,0
FL_0,0.589844,0.500000,-0.089844,-1,983,501425,0
FL_1,0.023438,-0.227330,-0.250768,-1,983,501425,0
FL_2,0.070312,0.500000,0.429688,-1,983,501426,0
RR_0,-0.664062,-0.500000,0.164062,-1,983,501426,0
RR_1,0.000000,-0.130099,-0.130099,-1,983,501426,0
RR_2,0.000000,0.500000,0.500000,-1,983,501426,0
RL_0,0.640625,0.500000,-0.140625,-1,983,501438,0
RL_1,0.046875,-0.139101,-0.185976,-1,983,501438,0
RL_2,-0.035156,0.500000,0.535156,-1,983,501438,0
FR_0,-0.589844,-0.500000,0.089844,-1,1017,502443,1
FR_1,0.000000,-0.223904,-0.223904,-1,1017,502443,1
FR_2,-0.109375,0.500000,0.609375,-1,1017,502443,1
FL_0,0.589844,0.500000,-0.089844,-1,1017,502443,1
FL_1,-0.070312,-0.227330,-0.157018,-1,1017,502443,1
FL_2,-0.035156,0.500000,0.535156,-1,1017,502443,1
RR_0,-0.691406,-0.500000,0.191406,-1,1017,502443,1
RR_1,0.000000,-0.130099,-0.130099,-1,1017,502444,1
RR_2,0.000000,0.500000,0.500000,-1,1017,502444,1
RL_0,0.617188,0.500000,-0.117188,-1,1017,502444,1
RL_1,0.000000,-0.139101,-0.139101,-1,1017,502444,1
RL_2,-0.035156,0.500000,0.535156,-1,1017,502444,1
FR_0,-0.589844,-0.500000,0.089844,-1,999,503442,1
FR_1,0.046875,-0.223904,-0.270779,-1,999,503442,1
FR_2,0.000000,0.500000,0.500000,-1,999,503442,1
FL_0,0.617188,0.500000,-0.117188,-1,999,503442,1
FL_1,0.000000,-0.227330,-0.227330,-1,999,503442,1
FL_2,0.070312,0.500000,0.429688,-1,999,503442,1
RR_0,-0.664062,-0.500000,0.164062,-1,999,503443,1
RR_1,0.000000,-0.130099,-0.130099,-1,999,503443,1
RR_2,0.000000,0.500000,0.500000,-1,999,503443,1
RL_0,0.812500,0.500000,-0.312500,-1,999,503443,1
RL_1,0.023438,-0.139101,-0.162539,-1,999,503443,1
RL_2,0.035156,0.500000,0.464844,-1,999,503443,1
FR_0,-0.691406,-0.500000,0.191406,-1,983,504425,0
FR_1,0.023438,-0.223904,-0.247342,-1,983,504425,0
FR_2,0.183594,0.500000,0.316406,-1,983,504425,0
FL_0,0.566406,0.500000,-0.066406,-1,983,504425,0
FL_1,0.023438,-0.227330,-0.250768,-1,983,504425,0
FL_2,0.000000,0.500000,0.500000,-1,983,504438,0
RR_0,-0.714844,-0.500000,0.214844,-1,983,504438,0
RR_1,0.023438,-0.130099,-0.153537,-1,983,504438,0
RR_2,0.109375,0.500000,0.390625,-1,983,504438,0
RL_0,0.566406,0.500000,-0.066406,-1,983,504438,0
RL_1,0.023438,-0.139101,-0.162539,-1,983,504438,0
RL_2,0.000000,0.500000,0.500000,-1,983,504438,0
FR_0,-0.664062,-0.500000,0.164062,-1,1015,505441,1
FR_1,0.046875,-0.223904,-0.270779,-1,1015,505441,1
FR_2,-0.144531,0.500000,0.644531,-1,1015,505441,1
FL_0,0.617188,0.500000,-0.117188,-1,1015,505441,1
FL_1,0.000000,-0.227330,-0.227330,-1,1015,505441,1
FL_2,-0.035156,0.500000,0.535156,-1,1015,505441,1
RR_0,-0.691406,-0.500000,0.191406,-1,1015,505442,1
RR_1,0.000000,-0.130099,-0.130099,-1,1015,505442,1
RR_2,-0.070312,0.500000,0.570312,-1,1015,505442,1
RL_0,0.617188,0.500000,-0.117188,-1,1015,505442,1
